LECROYWR104Xi-A,26993,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,13-Jul-2015 13:28:13,0                 
Time,Ampl
5.172e-006,-8.61144e-005
5.1722e-006,-8.16474e-005
5.1724e-006,-8.09029e-005
5.1726e-006,-8.04066e-005
5.1728e-006,-7.49469e-005
5.173e-006,-7.27134e-005
5.1732e-006,-7.74286e-005
5.1734e-006,-8.51218e-005
5.1736e-006,-9.20705e-005
5.1738e-006,-9.30632e-005
5.174e-006,-8.71071e-005
5.1742e-006,-8.41291e-005
5.1744e-006,-8.95888e-005
5.1746e-006,-9.60412e-005
5.1748e-006,-9.97637e-005
5.175e-006,-0.000102742
5.1752e-006,-0.000106961
5.1754e-006,-0.000110683
5.1756e-006,-0.000111179
5.1758e-006,-0.000110187
5.176e-006,-0.000114157
5.1762e-006,-0.000121354
5.1764e-006,-0.000123836
5.1766e-006,-0.000120858
5.1768e-006,-0.000116639
5.177e-006,-0.000114157
5.1772e-006,-0.000114654
5.1774e-006,-0.00011515
5.1776e-006,-0.000115398
5.1778e-006,-0.000115646
5.178e-006,-0.000113909
5.1782e-006,-0.000114654
5.1784e-006,-0.000121603
5.1786e-006,-0.00012607
5.1788e-006,-0.000124084
5.179e-006,-0.000124084
5.1792e-006,-0.000131281
5.1794e-006,-0.000141952
5.1796e-006,-0.000151135
5.1798e-006,-0.000150638
5.18e-006,-0.000143441
5.1802e-006,-0.000142449
5.1804e-006,-0.000144434
5.1806e-006,-0.000139222
5.1808e-006,-0.000131777
5.181e-006,-0.000128551
5.1812e-006,-0.000128799
5.1814e-006,-0.000132522
5.1816e-006,-0.000137485
5.1818e-006,-0.000141952
5.182e-006,-0.000145675
5.1822e-006,-0.000145923
5.1824e-006,-0.000143938
5.1826e-006,-0.000145179
5.1828e-006,-0.000146419
5.183e-006,-0.000143441
5.1832e-006,-0.000137982
5.1834e-006,-0.000134507
5.1836e-006,-0.000135004
5.1838e-006,-0.000135252
5.184e-006,-0.000130288
5.1842e-006,-0.000124829
5.1844e-006,-0.000123836
5.1846e-006,-0.000122843
5.1848e-006,-0.000119617
5.185e-006,-0.000118873
5.1852e-006,-0.000123092
5.1854e-006,-0.000127807
5.1856e-006,-0.000128055
5.1858e-006,-0.00012607
5.186e-006,-0.000125573
5.1862e-006,-0.000125077
5.1864e-006,-0.000124581
5.1866e-006,-0.000130785
5.1868e-006,-0.000141456
5.187e-006,-0.000145675
5.1872e-006,-0.000139222
5.1874e-006,-0.000130288
5.1876e-006,-0.000122347
5.1878e-006,-0.000114406
5.188e-006,-0.000108946
5.1882e-006,-0.000104975
5.1884e-006,-0.000103486
5.1886e-006,-0.000109194
5.1888e-006,-0.000116887
5.189e-006,-0.00011788
5.1892e-006,-0.000114157
5.1894e-006,-0.000109442
5.1896e-006,-0.000107457
5.1898e-006,-0.000111179
5.19e-006,-0.000116639
5.1902e-006,-0.000121106
5.1904e-006,-0.000127559
5.1906e-006,-0.000134259
5.1908e-006,-0.000137237
5.191e-006,-0.000136989
5.1912e-006,-0.000133266
5.1914e-006,-0.000127807
5.1916e-006,-0.00012607
5.1918e-006,-0.00012607
5.192e-006,-0.000127559
5.1922e-006,-0.000136244
5.1924e-006,-0.000146668
5.1926e-006,-0.000150638
5.1928e-006,-0.000154857
5.193e-006,-0.000162798
5.1932e-006,-0.000165528
5.1934e-006,-0.000160317
5.1936e-006,-0.000154857
5.1938e-006,-0.000152624
5.194e-006,-0.000152375
5.1942e-006,-0.000152375
5.1944e-006,-0.000150886
5.1946e-006,-0.000147164
5.1948e-006,-0.000140215
5.195e-006,-0.000136989
5.1952e-006,-0.000144186
5.1954e-006,-0.000150638
5.1956e-006,-0.000147908
5.1958e-006,-0.000146668
5.196e-006,-0.000150142
5.1962e-006,-0.000155602
5.1964e-006,-0.000163543
5.1966e-006,-0.000169003
5.1968e-006,-0.000167017
5.197e-006,-0.000161061
5.1972e-006,-0.000155353
5.1974e-006,-0.000152375
5.1976e-006,-0.000152127
5.1978e-006,-0.000148653
5.198e-006,-0.000141208
5.1982e-006,-0.000137485
5.1984e-006,-0.000137982
5.1986e-006,-0.000137485
5.1988e-006,-0.000136244
5.199e-006,-0.000137237
5.1992e-006,-0.000138726
5.1994e-006,-0.00013823
5.1996e-006,-0.000134755
5.1998e-006,-0.000132026
5.2e-006,-0.000130785
5.2002e-006,-0.000127807
5.2004e-006,-0.000126566
5.2006e-006,-0.000133763
5.2008e-006,-0.00014493
5.201e-006,-0.000151879
5.2012e-006,-0.000154361
5.2014e-006,-0.000152127
5.2016e-006,-0.000146171
5.2018e-006,-0.0001422
5.202e-006,-0.00014096
5.2022e-006,-0.000138726
5.2024e-006,-0.000135252
5.2026e-006,-0.000129792
5.2028e-006,-0.000124829
5.203e-006,-0.000124084
5.2032e-006,-0.000124084
5.2034e-006,-0.000122595
5.2036e-006,-0.000123836
5.2038e-006,-0.00012607
5.204e-006,-0.000126318
5.2042e-006,-0.000123836
5.2044e-006,-0.000121106
5.2046e-006,-0.000121603
5.2048e-006,-0.000125325
5.205e-006,-0.000127559
5.2052e-006,-0.000128055
5.2054e-006,-0.000128551
5.2056e-006,-0.000127559
5.2058e-006,-0.000126318
5.206e-006,-0.000126814
5.2062e-006,-0.000124829
5.2064e-006,-0.000122843
5.2066e-006,-0.000125821
5.2068e-006,-0.000129296
5.207e-006,-0.00013004
5.2072e-006,-0.000130537
5.2074e-006,-0.000130785
5.2076e-006,-0.000128551
5.2078e-006,-0.000126566
5.208e-006,-0.000128551
5.2082e-006,-0.0001355
5.2084e-006,-0.000141456
5.2086e-006,-0.000137485
5.2088e-006,-0.000126814
5.209e-006,-0.000117632
5.2092e-006,-0.000113165
5.2094e-006,-0.000115646
5.2096e-006,-0.000123836
5.2098e-006,-0.00012731
5.21e-006,-0.000121106
5.2102e-006,-0.000110931
5.2104e-006,-0.000100756
5.2106e-006,-9.18223e-005
5.2108e-006,-8.68589e-005
5.211e-006,-8.48736e-005
5.2112e-006,-8.88443e-005
5.2114e-006,-0.000102245
5.2116e-006,-0.000115646
5.2118e-006,-0.000118128
5.212e-006,-0.00011515
5.2122e-006,-0.000116639
5.2124e-006,-0.000120114
5.2126e-006,-0.000119865
5.2128e-006,-0.000118376
5.213e-006,-0.000120362
5.2132e-006,-0.000125325
5.2134e-006,-0.000130785
5.2136e-006,-0.000132522
5.2138e-006,-0.000128551
5.214e-006,-0.000122843
5.2142e-006,-0.000119865
5.2144e-006,-0.000117135
5.2146e-006,-0.000110187
5.2148e-006,-0.000102742
5.215e-006,-0.000100508
5.2152e-006,-9.97637e-005
5.2154e-006,-9.95155e-005
5.2156e-006,-0.000101749
5.2158e-006,-0.000104231
5.216e-006,-0.000106712
5.2162e-006,-0.000111428
5.2164e-006,-0.000114654
5.2166e-006,-0.000111924
5.2168e-006,-0.000106464
5.217e-006,-0.000104975
5.2172e-006,-0.000110435
5.2174e-006,-0.000116391
5.2176e-006,-0.000114654
5.2178e-006,-0.00011242
5.218e-006,-0.000117632
5.2182e-006,-0.000121106
5.2184e-006,-0.000118376
5.2186e-006,-0.000115398
5.2188e-006,-0.000108698
5.219e-006,-9.90192e-005
5.2192e-006,-9.48003e-005
5.2194e-006,-9.45522e-005
5.2196e-006,-9.1326e-005
5.2198e-006,-8.9837e-005
5.22e-006,-9.2815e-005
5.2202e-006,-9.70338e-005
5.2204e-006,-9.8771e-005
5.2206e-006,-9.08296e-005
5.2208e-006,-7.71804e-005
5.221e-006,-7.12243e-005
5.2212e-006,-7.2217e-005
5.2214e-006,-7.27134e-005
5.2216e-006,-7.04798e-005
5.2218e-006,-6.6261e-005
5.222e-006,-6.40275e-005
5.2222e-006,-6.72536e-005
5.2224e-006,-6.97353e-005
5.2226e-006,-6.775e-005
5.2228e-006,-6.75018e-005
5.223e-006,-7.27134e-005
5.2232e-006,-7.79249e-005
5.2234e-006,-7.79249e-005
5.2236e-006,-7.14725e-005
5.2238e-006,-6.70055e-005
5.224e-006,-6.94872e-005
5.2242e-006,-7.04798e-005
5.2244e-006,-6.79982e-005
5.2246e-006,-6.9239e-005
5.2248e-006,-7.27134e-005
5.225e-006,-7.29615e-005
5.2252e-006,-7.19688e-005
5.2254e-006,-7.27134e-005
5.2256e-006,-7.69322e-005
5.2258e-006,-8.23919e-005
5.226e-006,-8.43773e-005
5.2262e-006,-8.38809e-005
5.2264e-006,-8.26401e-005
5.2266e-006,-7.6684e-005
5.2268e-006,-6.99835e-005
5.227e-006,-7.04798e-005
5.2272e-006,-7.54432e-005
5.2274e-006,-7.86694e-005
5.2276e-006,-8.09029e-005
5.2278e-006,-7.96621e-005
5.228e-006,-7.17207e-005
5.2282e-006,-6.70055e-005
5.2284e-006,-6.99835e-005
5.2286e-006,-7.42024e-005
5.2288e-006,-7.6684e-005
5.229e-006,-8.09029e-005
5.2292e-006,-8.88443e-005
5.2294e-006,-9.7282e-005
5.2296e-006,-0.000103983
5.2298e-006,-0.000109939
5.23e-006,-0.000115895
5.2302e-006,-0.000118376
5.2304e-006,-0.000117135
5.2306e-006,-0.000112917
5.2308e-006,-0.00010572
5.231e-006,-0.000101501
5.2312e-006,-0.000103238
5.2314e-006,-0.000104727
5.2316e-006,-0.000104727
5.2318e-006,-0.000107457
5.232e-006,-0.000108698
5.2322e-006,-0.000107705
5.2324e-006,-0.000111676
5.2326e-006,-0.000116639
5.2328e-006,-0.000113165
5.233e-006,-0.000108698
5.2332e-006,-0.000108946
5.2334e-006,-0.000113165
5.2336e-006,-0.000120114
5.2338e-006,-0.00012061
